Label,Value,Date
"Car Insurance",-185.15,"2016-01-16 18:02:17"
"Groceries",-69.52,"1986-07-20 04:17:58"
"Rent",-148.91,"1975-07-25 11:02:59"
"Lottery",856.61,"1983-11-04 11:26:02"
"Salary",234.29,"2007-03-15 13:38:12"
"Car Insurance",-55.73,"2013-02-02 21:51:56"
"Utility Bill",-3.21,"1985-04-11 12:31:54"
"Lottery",575.88,"2018-01-13 01:18:23"
"Salary",303.57,"2016-07-13 05:51:57"
"Refund",669.01,"2008-03-04 04:29:01"
"Utility Bill",-1.36,"2020-05-05 08:44:48"
"Salary",48.78,"1992-01-20 21:05:58"
"Utility Bill",-239.82,"1981-12-12 12:35:00"
"Utility Bill",-87.87,"1995-07-06 09:48:05"
"Refund",563.46,"1991-09-15 22:51:30"
"Salary",583.46,"1980-07-25 17:40:21"
"Utility Bill",-220.18,"2010-03-07 10:46:53"
"Groceries",-108.45,"1986-12-14 20:13:43"
"Groceries",-12.85,"2017-05-16 11:29:43"
"Car Insurance",-183.25,"1995-06-07 18:03:08"
"Salary",983.97,"1989-10-14 15:53:08"
"Car Insurance",-120.32,"1989-11-21 03:59:49"
"Car Insurance",-102.74,"1973-01-07 01:46:44"
"Rent",-136.64,"1991-06-05 21:31:55"
"Rent",-76.14,"2008-09-24 16:52:25"
"Utility Bill",-120.11,"2010-05-09 05:58:17"
"Salary",658.42,"1984-07-30 18:14:35"
"Rent",-151.94,"1988-07-24 15:21:58"
"Car Insurance",-118.87,"1994-04-29 18:49:10"
"Rent",-151.54,"2003-01-31 21:22:56"
"Salary",928.51,"2010-04-27 18:19:46"
"Rent",-236.04,"1993-12-13 10:19:48"
"Groceries",-34.13,"1988-09-05 21:32:17"
"Groceries",-95.06,"2000-07-13 22:03:13"
"Car Insurance",-135.47,"1979-05-08 12:48:16"
"Salary",166.44,"1978-03-29 11:34:06"
"Rent",-47.80,"2016-02-13 19:35:36"
"Car Insurance",-81.43,"1978-04-08 15:46:18"
"Utility Bill",-243.31,"2013-05-30 04:54:52"
"Groceries",-15.21,"2016-02-27 23:08:30"
"Groceries",-119.53,"1973-09-01 02:57:02"
"Car Insurance",-243.04,"2015-09-21 05:01:49"
"Salary",236.56,"2011-04-24 22:49:14"
"Rent",-32.78,"1997-08-15 01:06:03"
"Groceries",-229.16,"1982-05-02 15:24:33"
"Car Insurance",-157.13,"1974-10-31 21:13:46"
"Refund",820.95,"2006-04-17 11:06:02"
"Utility Bill",-198.10,"1979-11-19 21:17:33"
"Car Insurance",-201.77,"2009-11-23 20:52:58"
"Car Insurance",-150.78,"1986-07-10 07:52:19"
"Lottery",404.30,"1971-03-27 23:48:57"
"Groceries",-192.80,"2010-10-27 04:23:37"
"Lottery",601.63,"2005-01-05 07:12:42"
"Car Insurance",-97.09,"2017-07-29 03:51:44"
